City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
405,Eyl,SO,74.46,few clouds,7.9803,49.8164,Amiin Hotel
407,Piacabucu,BR,77.77,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
408,Itarema,BR,79.11,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
409,Kampot,KH,77.05,few clouds,10.6167,104.1833,Two Moons Hotel
410,Bernal,PE,66.31,broken clouds,-5.45,-80.75,Plaza de Armas Bellavista de La Unión
412,Sal Rei,CV,73.96,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
413,Taunggyi,MM,67.19,few clouds,20.7833,97.0333,True Treasure Hotel
415,Luanda,AO,75.29,light rain,-8.8368,13.2343,Hotel Fórum
417,Katsuura,JP,68.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
419,Bilma,NE,73.83,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
420,Las Vegas,US,75.27,clear sky,36.175,-115.1372,Plaza Hotel & Casino
421,Malakal,SS,77.41,scattered clouds,9.5334,31.6605,Nile Palace Hotel
423,Mandera,KE,78.12,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
425,Lasem,ID,84.56,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Restaurant & Community Center"
426,Pahrump,US,72.18,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
429,Armidale,AU,66.81,overcast clouds,-30.5167,151.65,Abbotsleigh Motor Inn
431,Quatre Cocos,MU,75.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
434,Villa Union,MX,83.01,few clouds,23.2,-106.2333,My Fantasy Auto-Hotel
435,Nishihara,JP,76.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
438,Kalmunai,LK,76.78,overcast clouds,7.4167,81.8167,VS Villa
441,Cilegon,ID,84.09,overcast clouds,-6.0174,106.0538,Amaris Hotel Cilegon
447,Neiafu,TO,77.68,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
448,Fougamou,GA,70.23,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
450,San Luis,AR,65.35,few clouds,-33.295,-66.3356,Huarpes Hotel
451,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
452,Altagracia De Orituco,VE,71.28,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
454,Sambava,MG,72.72,few clouds,-14.2667,50.1667,Melrose
457,Vaitape,PF,79.52,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
459,Kudahuvadhoo,MV,82.83,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
460,Azare,NG,76.17,few clouds,11.6765,10.1948,Muk hostel
461,Wanning,CN,75.36,scattered clouds,18.8003,110.3967,Paradise Hotel
464,Progreso,MX,75.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
465,Nouadhibou,MR,66.65,overcast clouds,20.931,-17.0347,El Medina
467,Tocopilla,CL,65.43,few clouds,-22.092,-70.1979,Hotel Galvarino
468,Aswan,EG,75.18,clear sky,24.0934,32.907,Nuba Nile
469,Laguna De Perlas,NI,76.77,overcast clouds,12.3429,-83.6712,Hotel Best View
470,Jucas,BR,79.16,overcast clouds,-6.5253,-39.5275,Pousada e pizzaria Frogomercambar
472,Alamos,MX,77.72,clear sky,27.0167,-108.9333,Luz del Sol
476,Cassia,BR,71.17,broken clouds,-20.5831,-46.9219,Hotel Ancora e Restaurante de Cassia MG
479,Nha Trang,VN,84.2,clear sky,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
480,Jacqueville,CI,78.71,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
481,Coolum Beach,AU,81.1,overcast clouds,-26.5333,153.1,Palmer Coolum Resort
482,Bikaner,IN,71.53,clear sky,28.0167,73.3,Karina Guest House
483,Kutum,SD,68.11,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
484,Rajapur,IN,67.69,scattered clouds,25.3833,81.15,Ravi roy
486,Abu Zabad,SD,75.38,clear sky,12.35,29.25,حامد محمد نور
489,Jacmel,HT,82.24,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
491,Porto Walter,BR,74.46,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
494,Ipixuna,BR,78.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
495,Porto Nacional,BR,77.0,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
497,Cockburn Town,TC,82.13,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
498,Pemangkat,ID,83.23,scattered clouds,1.1667,108.9667,Ramah Kost KITA
499,Ituacu,BR,72.52,overcast clouds,-13.8133,-41.2967,Hotel Alelos
500,Ixtapa,MX,74.44,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
508,San Carlos Del Zulia,VE,77.27,overcast clouds,9.0,-71.9135,Hotel El Manantial
512,Carutapera,BR,78.85,broken clouds,-1.195,-46.02,Lidera
513,Biritiba-Mirim,BR,66.09,few clouds,-23.5698,-46.0407,RECANTO SPLENDORE
514,Samarai,PG,84.99,clear sky,-10.6167,150.6667,Nuli Sapi
515,Camopi,GF,73.08,overcast clouds,3.1655,-52.3158,La pousada
523,Limon,CR,77.94,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
524,Simao,CN,65.8,overcast clouds,22.7886,100.9748,Changyu Hotel
527,Porbandar,IN,77.92,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
539,Grand-Santi,GF,73.38,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
543,Fare,PF,79.27,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
545,Sampit,ID,74.73,heavy intensity rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
548,Bonthe,SL,77.9,light rain,7.5264,-12.505,Bonthe Holiday Village
549,Toma,BF,81.52,overcast clouds,12.7667,-2.8833,Auberge de l'amitié
550,Ponta Delgada,PT,70.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
552,Quelimane,MZ,69.01,clear sky,-17.8786,36.8883,Hotel Flamingo
554,Sao Sebastiao,BR,66.88,few clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
561,La Palma,US,68.77,haze,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
562,Niquelandia,BR,72.75,overcast clouds,-14.4739,-48.4597,Hotel Suinã
563,Kantunilkin,MX,66.04,clear sky,21.0917,-87.45,Posada Paraiso
565,Contamana,PE,77.65,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
569,Ponta Pora,BR,66.76,scattered clouds,-22.5361,-55.7256,Hotel Pousada do Bosque
576,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
584,Sonoita,MX,71.35,scattered clouds,31.85,-112.8333,Hotel Nora
585,Takaka,NZ,71.98,few clouds,-40.85,172.8,Golden Bay Motels
587,Cavalcante,BR,70.79,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
591,Pointe Michel,DM,80.2,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
593,Nelson Bay,AU,76.75,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
596,Road Town,VG,79.0,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
599,Luena,AO,65.3,broken clouds,-11.7833,19.9167,Hotel Kandamba
600,Semporna,MY,82.94,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
602,Khajuraho,IN,67.23,few clouds,24.85,79.9333,The LaLiT Temple View Khajuraho
604,Vao,NC,72.18,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
606,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
610,Chemax,MX,65.34,clear sky,20.65,-87.9333,"Hotel ""Don Roger"""
612,Kodar,IN,71.24,overcast clouds,16.9833,79.9667,Hotel Athidhi Grand
618,Tutoia,BR,76.71,overcast clouds,-2.7619,-42.2744,Pousada Guará's
619,Port-Gentil,GA,78.66,light rain,-0.7193,8.7815,Fengshui Residence
620,General Roca,AR,70.2,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
621,Sumbe,AO,74.32,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
623,Monrovia,LR,78.06,moderate rain,6.3005,-10.7969,Sunset Inn
624,Puerto Cabezas,NI,75.33,overcast clouds,14.0351,-83.3888,Cabaña Caribe
627,Padilla,CO,66.42,overcast clouds,3.2204,-76.3139,La Granadina
630,Puerto Del Rosario,ES,67.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
635,Kumluca,TR,70.79,overcast clouds,36.3703,30.2869,TurkuazKöy
639,Belmonte,BR,75.24,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
640,Cocorit,MX,76.71,clear sky,27.5833,-109.9667,Kaba Motel
644,Tondano,ID,81.16,overcast clouds,1.3038,124.9112,Villa Bella
645,Japura,ID,80.98,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
646,Rancho Palos Verdes,US,65.21,few clouds,33.7445,-118.387,Terranea Resort
654,Chipinge,ZW,65.77,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
657,Uruguaiana,BR,66.13,clear sky,-29.7547,-57.0883,Fares Turis Hotel
667,Canutama,BR,75.7,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
671,Nanakuli,US,84.15,few clouds,21.3906,-158.1547,Camp Pālehua
673,Santa Cruz,BO,69.26,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
674,Parrita,CR,82.17,overcast clouds,9.5201,-84.3225,Beso del Viento
