City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Filadelfia,US,39.9523,-75.1638,49.37,59,1,3.44,clear sky
127,Richards Bay,ZA,-28.783,32.0377,70.39,95,100,3.56,overcast clouds
128,Victoria,HK,22.2855,114.1577,70.25,70,68,1.01,broken clouds
129,Ancud,CL,-41.8697,-73.8203,54.43,96,95,2.8,overcast clouds
130,Hambantota,LK,6.1241,81.1185,77.34,94,20,4.61,few clouds
131,San-Pedro,CI,4.7485,-6.6363,77.18,91,80,4.32,broken clouds
132,Broome,US,42.2506,-75.833,42.76,72,0,1.3,clear sky
133,Hilo,US,19.7297,-155.09,88.29,91,33,3.0,scattered clouds
134,Marechal Candido Rondon,BR,-24.5561,-54.0567,71.26,79,2,3.06,clear sky
135,Fairbanks,US,64.8378,-147.7164,25.21,90,90,3.44,mist
136,Grindavik,IS,63.8424,-22.4338,37.87,87,90,36.82,overcast clouds
137,Puerto Ayora,EC,-0.7393,-90.3518,69.66,81,47,8.59,scattered clouds
138,Port Shepstone,ZA,-30.7414,30.455,68.47,91,100,3.33,light rain
139,Bay Roberts,CA,47.5999,-53.2648,48.02,85,45,4.0,scattered clouds
140,Hualmay,PE,-11.0964,-77.6139,64.09,82,100,7.92,overcast clouds
141,Ust-Nera,RU,64.5667,143.2,-11.42,97,80,5.66,broken clouds
142,Trincomalee,LK,8.5711,81.2335,76.96,89,100,13.35,overcast clouds
143,Lebu,CL,-37.6167,-73.65,52.88,93,68,9.86,broken clouds
144,Meulaboh,ID,4.1363,96.1285,76.62,93,100,8.37,overcast clouds
145,Vestmannaeyjar,IS,63.4427,-20.2734,39.49,95,100,50.09,moderate rain
146,Oyama,JP,36.3,139.8,67.03,73,100,4.27,overcast clouds
147,Geraldton,AU,-28.7667,114.6,72.01,53,22,13.8,few clouds
148,Nicoya,CR,10.1483,-85.452,78.35,88,96,5.84,overcast clouds
149,Dunedin,NZ,-45.8742,170.5036,64.8,68,24,6.87,few clouds
150,Magole,TZ,-6.3667,37.3667,69.42,90,100,1.86,overcast clouds
151,Dingle,PH,10.9995,122.6711,85.37,77,45,12.21,scattered clouds
152,Portland,US,45.5234,-122.6762,47.37,92,100,1.99,light rain
153,Sumenep,ID,-7.0167,113.8667,88.29,57,90,1.79,overcast clouds
154,Kiama,AU,-34.6833,150.8667,78.01,75,31,6.15,moderate rain
155,Alofi,NU,-19.0595,-169.9187,78.69,83,50,13.8,light rain
156,Ugoofaaru,MV,5.6667,73.0,80.65,81,99,17.13,overcast clouds
157,Tezu,IN,27.9167,96.1667,72.57,38,1,0.63,clear sky
158,Ahipara,NZ,-35.1667,173.1667,66.18,78,41,5.5,scattered clouds
159,Tura,IN,25.5198,90.2201,68.68,74,70,1.48,broken clouds
160,Nyurba,RU,63.2842,118.3319,25.36,93,100,10.6,light snow
161,Nikolayevsk-Na-Amure,RU,53.1406,140.73,26.01,57,7,11.25,clear sky
162,Barrow,US,71.2906,-156.7887,21.6,80,100,9.55,overcast clouds
163,Batagay,RU,67.6333,134.6333,-14.69,86,30,5.77,scattered clouds
164,Methven,NZ,-43.6333,171.65,69.03,61,3,1.99,clear sky
165,Dalbandin,PK,28.8947,64.4101,57.22,33,0,4.85,clear sky
166,Salalah,OM,17.0151,54.0924,74.39,70,7,3.36,clear sky
167,Blantyre,MW,-15.785,35.0085,71.44,41,1,7.07,clear sky
168,Mar Del Plata,AR,-38.0023,-57.5575,61.09,85,0,3.0,clear sky
169,Tall Kayf,TR,37.0833,41.0667,59.16,39,35,1.57,scattered clouds
170,Presidente Medici,BR,-11.1753,-61.9014,71.83,96,61,0.87,broken clouds
171,Vammala,FI,61.3333,22.9,34.57,75,99,11.97,overcast clouds
172,Shizunai,JP,42.3339,142.3669,55.89,74,95,11.12,overcast clouds
173,Rafaela,AR,-31.2503,-61.4867,70.05,69,6,2.57,clear sky
174,Conceicao Do Almeida,BR,-12.7794,-39.17,72.3,97,100,1.7,overcast clouds
175,Cardston,CA,49.2,-113.3019,32.47,57,0,17.56,clear sky
176,Dustlik,UZ,40.5247,68.0358,44.15,32,100,1.88,overcast clouds
177,Canakkale,TR,40.0833,26.8333,47.01,89,54,3.74,broken clouds
178,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,48,40,15.66,scattered clouds
179,Brae,GB,60.3964,-1.353,40.91,67,100,5.46,overcast clouds
180,Alappuzha,IN,9.49,76.3264,78.21,85,100,4.88,overcast clouds
